old_samp_name	new_samp_name
DE005.2019	SEN_DEG_2019_005
DE006.2019	SEN_DEG_2019_006
DE007.2019	SEN_DEG_2019_007
DE008.2019	SEN_DEG_2019_008
DE010.2019	SEN_DEG_2019_010
DE011.2019	SEN_DEG_2019_011
DE012.2019	SEN_DEG_2019_012
DE013.2019	SEN_DEG_2019_013
DE015.2019	SEN_DEG_2019_015
DE018.2019	SEN_DEG_2019_018
DE019.2019	SEN_DEG_2019_019
DE020.2019	SEN_DEG_2019_020
DE1.2019	SEN_DEG_2019_001
DE21.2019	SEN_DEG_2019_021
DE23.2019	SEN_DEG_2019_023
DE24.2019	SEN_DEG_2019_024
DE27.2019	SEN_DEG_2019_027
DE29.2019	SEN_DEG_2019_029
DE3.2019	SEN_DEG_2019_003
DE31.2019	SEN_DEG_2019_031
DE33.2019	SEN_DEG_2019_033
DE34.2019	SEN_DEG_2019_034
DE4.2019	SEN_DEG_2019_004
GA040.2019	SEN_GAB_2019_040
GA045.2019	SEN_GAB_2019_045
GA046.2019	SEN_GAB_2019_046
GA047.2019	SEN_GAB_2019_047
GA049.2019	SEN_GAB_2019_049
GA052.2019	SEN_GAB_2019_052
GA054.2019	SEN_GAB_2019_054
GA055.2019	SEN_GAB_2019_055
GA056.2019	SEN_GAB_2019_056
GA057.2019	SEN_GAB_2019_057
GA058.2019	SEN_GAB_2019_058
GA059.2019	SEN_GAB_2019_059
GA060.2019	SEN_GAB_2019_060
GA061.2019	SEN_GAB_2019_061
GA063.2019	SEN_GAB_2019_063
GA066.2019	SEN_GAB_2019_066
GA067.2019	SEN_GAB_2019_067
GA068.2019	SEN_GAB_2019_068
GA070.2019	SEN_GAB_2019_070
GA071.2019	SEN_GAB_2019_071
GA072.2019	SEN_GAB_2019_072
GA076.2019	SEN_GAB_2019_076
GA079.2019	SEN_GAB_2019_079
GA080.2019	SEN_GAB_2019_080
GA084.2019	SEN_GAB_2019_084
GA085.2019	SEN_GAB_2019_085
GA086.2019	SEN_GAB_2019_086
GA091.2019	SEN_GAB_2019_091
GA096.2019	SEN_GAB_2019_096
GA097.2019	SEN_GAB_2019_097
GA098.2019	SEN_GAB_2019_098
GA10.2019	SEN_GAB_2019_010
GA11.2019	SEN_GAB_2019_011
GA13.2019	SEN_GAB_2019_013
GA16.2019	SEN_GAB_2019_016
GA17.2019	SEN_GAB_2019_017
GA18.2019	SEN_GAB_2019_018
GA19.2019	SEN_GAB_2019_019
GA2.2019	SEN_GAB_2019_002
GA20.2019	SEN_GAB_2019_020
GA22.2019	SEN_GAB_2019_022
GA23.2019	SEN_GAB_2019_023
GA24.2019	SEN_GAB_2019_024
GA27.2019	SEN_GAB_2019_027
GA28.2019	SEN_GAB_2019_028
GA3.2019	SEN_GAB_2019_003
GA30.2019	SEN_GAB_2019_030
GA33.2019	SEN_GAB_2019_033
GA7.2019	SEN_GAB_2019_007
GA9.2019	SEN_GAB_2019_009
KD252.2019	SEN_KLD_2019_252
KD253.2019	SEN_KLD_2019_253
KD254.2019	SEN_KLD_2019_254
KD255.2019	SEN_KLD_2019_255
KD256.2019	SEN_KLD_2019_256
KD257.2019	SEN_KLD_2019_257
KD258.2019	SEN_KLD_2019_258
KD259.2019	SEN_KLD_2019_259
KD261.2019	SEN_KLD_2019_261
KD264.2019	SEN_KLD_2019_264
KD265.2019	SEN_KLD_2019_265
KD266.2019	SEN_KLD_2019_266
KD267.2019	SEN_KLD_2019_267
KD268.2019	SEN_KLD_2019_268
KD269.2019	SEN_KLD_2019_269
KD270.2019	SEN_KLD_2019_270
KD271.2019	SEN_KLD_2019_271
KD272.2019	SEN_KLD_2019_272
KD273.2019	SEN_KLD_2019_273
KD274.2019	SEN_KLD_2019_274
KD275.2019	SEN_KLD_2019_275
KD276.2019	SEN_KLD_2019_276
KD277.2019	SEN_KLD_2019_277
KD278.2019	SEN_KLD_2019_278
KD280.2019	SEN_KLD_2019_280
KD281.2019	SEN_KLD_2019_281
KD284.2019	SEN_KLD_2019_284
KD285.2019	SEN_KLD_2019_285
KD286.2019	SEN_KLD_2019_286
KD288.2019	SEN_KLD_2019_288
KD289.2019	SEN_KLD_2019_289
KD290.2019	SEN_KLD_2019_290
KD291.2019	SEN_KLD_2019_291
KD293.2019	SEN_KLD_2019_293
KD294.2019	SEN_KLD_2019_294
KD295.2019	SEN_KLD_2019_295
KD296.2019	SEN_KLD_2019_296
KD297.2019	SEN_KLD_2019_297
KD299.2019	SEN_KLD_2019_299
KD300.2019	SEN_KLD_2019_300
KD301.2019	SEN_KLD_2019_301
KD302.2019	SEN_KLD_2019_302
KD304.2019	SEN_KLD_2019_304
KD305.2019	SEN_KLD_2019_305
KD306.2019	SEN_KLD_2019_306
KD309.2019	SEN_KLD_2019_309
KD310.2019	SEN_KLD_2019_310
KD311.2019	SEN_KLD_2019_311
KD312.2019	SEN_KLD_2019_312
KD313.2019	SEN_KLD_2019_313
KD371.2019	SEN_KLD_2019_371
KD373.2019	SEN_KLD_2019_373
KD374.2019	SEN_KLD_2019_374
KD375.2019	SEN_KLD_2019_375
KD376.2019	SEN_KLD_2019_376
KD377.2019	SEN_KLD_2019_377
KD379.2019	SEN_KLD_2019_379
KD380.2019	SEN_KLD_2019_380
KD381.2019	SEN_KLD_2019_381
KD382.2019	SEN_KLD_2019_382
KD383.2019	SEN_KLD_2019_383
KD384.2019	SEN_KLD_2019_384
KD390.2019	SEN_KLD_2019_390
KD391.2019	SEN_KLD_2019_391
KD392.2019	SEN_KLD_2019_392
KF1.2019	SEN_KAF_2019_001
KF14.2019	SEN_KAF_2019_014
KF15.2019	SEN_KAF_2019_015
KF16.2019	SEN_KAF_2019_016
